score,material,sex,participant
12,crayon,male ,participant 1
20,crayon,male ,participant 2
21,crayon,female ,participant 3
14,crayon,male ,participant 4
21,crayon,female ,participant 5
26,crayon,female ,participant 6
20,crayon,female ,participant 7
24,crayon,female ,participant 8
19,crayon,male ,participant 9
24,crayon,male ,participant 10
12,paint,male ,participant 1
10,paint,male ,participant 2
15,paint,female ,participant 3
10,paint,male ,participant 4
20,paint,female ,participant 5
22,paint,female ,participant 6
16,paint,female ,participant 7
18,paint,female ,participant 8
14,paint,male ,participant 9
20,paint,male ,participant 10
14,felt-tip,male ,participant 1
16,felt-tip,male ,participant 2
16,felt-tip,female ,participant 3
12,felt-tip,male ,participant 4
21,felt-tip,female ,participant 5
20,felt-tip,female ,participant 6
17,felt-tip,female ,participant 7
18,felt-tip,female ,participant 8
12,felt-tip,male ,participant 9
18,felt-tip,male ,participant 10
